frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
62	0.5060385	810	404.8542	-0.01019417	-0.3870203	0.9220148	0	0	0	0	0.001308985	0	0.9999992	0	0.1499986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
63	0.5107436	810	404.8542	-0.008537845	-0.37486	0.9270421	0	0	0	0	0.002181648	0	0.9999976	0	0.2499987	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
64	0.5160819	810	404.8542	-0.006867358	-0.3626412	0.9319035	0	0	0	0	0.00305431	0	0.9999954	0	0.3499987	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
65	0.5216312	811	404.8542	-0.005943439	-0.3625858	0.9319314	0	0	0	0	0.00305431	0	0.9999954	0	0.3499987	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
66	0.5273751	810	404.8542	-0.006786454	-0.3502896	0.9366168	0	0	0	0	0.00305431	0	0.9999954	0	0.3499987	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
67	0.5320213	810	404.8542	-0.006732506	-0.3387563	0.9408501	0	0	0	0	0.00305431	0	0.9999954	0	0.3499987	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
68	0.536797	811	404.8542	-0.00581114	-0.3387079	0.9408737	0	0	0	0	0.00305431	0	0.9999954	0	0.3499987	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
69	0.541464	811	404.8542	-0.007412649	-0.3279584	0.9446631	0	0	0	0	0.002181648	0	0.9999977	0	0.2499986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
70	0.5469763	811	404.8542	-0.007390084	-0.3279044	0.944682	0	0	0	0	0.002181648	0	0.9999977	0	0.2499986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
71	0.5519838	811	404.8542	-0.009001717	-0.3162764	0.9486243	0	0	0	0	0.001308985	0	0.9999992	0	0.1499986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
72	0.5571709	811	404.8542	-0.01146079	-0.3062687	0.9518761	0	0	0	0	-1.183596E-08	0	1	0	-1.356301E-06	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
73	0.5624155	811	404.8542	-0.01143513	-0.3062083	0.9518958	0	0	0	0	-1.183596E-08	0	1	0	-1.356301E-06	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
74	0.5683299	811	404.8542	-0.01391043	-0.2961625	0.9550363	0	0	0	0	-0.001309008	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
75	0.5733126	811	404.8542	-0.01723192	-0.2869116	0.9578021	0	0	0	0	-0.003054333	0	0.9999954	0	359.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
76	0.5780431	811	404.8542	-0.01720745	-0.2868545	0.9578196	0	0	0	0	-0.003054333	0	0.9999954	0	359.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
77	0.5821951	811	404.8542	-0.01887336	-0.2792669	0.960028	0	0	0	0	-0.003926993	0	0.9999923	0	359.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
78	0.5879203	811	404.8542	-0.02138911	-0.2716691	0.962153	0	0	0	0	-0.005235976	0	0.9999864	0	359.4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
79	0.5924504	811	404.8542	-0.02136101	-0.2716028	0.9621723	0	0	0	0	-0.005235976	0	0.9999864	0	359.4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
80	0.597447	811	404.8542	-0.0230411	-0.2648238	0.9640215	0	0	0	0	-0.006108627	0	0.9999814	0	359.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
81	0.6036389	811	404.8542	-0.02301725	-0.2647664	0.9640378	0	0	0	0	-0.006108627	0	0.9999814	0	359.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
82	0.6091738	811	404.8542	-0.02384792	-0.2587982	0.965637	0	0	0	0	-0.00654495	0	0.9999786	0	359.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
83	0.614932	811	404.8542	-0.02468609	-0.2528276	0.9671963	0	0	0	0	-0.006981273	0	0.9999756	0	359.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
84	0.6197639	811	404.8542	-0.02551747	-0.2485372	0.9682862	0	0	0	0	-0.007417594	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
85	0.6252543	810	404.8542	-0.02639327	-0.2484781	0.9682779	0	0	0	0	-0.007417594	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
86	0.6306143	811	404.8542	-0.02548265	-0.2441881	0.969393	0	0	0	0	-0.007417594	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
87	0.6348814	811	404.8542	-0.02547183	-0.2398904	0.9704657	0	0	0	0	-0.007417594	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
88	0.6398522	810	404.8542	-0.02634961	-0.2398376	0.9704553	0	0	0	0	-0.007417594	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
89	0.6439915	810	404.8542	-0.02633787	-0.2363894	0.9713014	0	0	0	0	-0.007417594	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
